stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
48.710194,0,3107,-122.33024,,,,,Lake Whatcom Blvd at Gate 2,0,5259,1
48.726265,0,3278,-122.50395,,,,,11th St at Bennett Ave,0,5821,1
48.725727,0,3282,-122.50368,,,,,11th St at Taylor Ave,0,5820,1
48.727333,0,3277,-122.50397,,,,,11th St at Easton Ave,0,5823,1
48.727715,0,3082,-122.50366,,,,,11th St at Easton Ave,0,5822,1
48.729618,0,3276,-122.50272,,,,,State St at 12th St,0,5825,1
48.729187,0,3083,-122.5028,,,,,State St at 12th St,0,5824,1
48.730324,0,3275,-122.50189,,,,,State St at 13th St,0,5827,1
48.730537,0,3084,-122.50126,,,,,State St at 13th St,0,5826,1
48.732166,0,3274,-122.49987,,,,,State St at 14th St,0,5829,1
48.732101,0,3085,-122.4995,,,,,State St at 14th St,0,5828,1
48.774651,0,7254,-122.45372,,,,,Sunset Dr at Racine,0,5980,1
48.768585,0,7256,-122.46504,,,,,James St at Illinois St,0,5981,1
48.891811,0,5542,-122.60098,,,,,Grandview Rd at Portal Way,0,5986,1
48.877159,0,5545,-122.58431,,,,,Portal Way at Trigg Rd,0,5987,1
48.887012,0,5512,-122.58373,,,,,Enterprise Rd at Matz Rd,0,5984,1
48.891972,0,5514,-122.60088,,,,,Grandview Rd at Portal Way,0,5985,1
48.747204,0,1199,-122.41816,,,,,Lakeway Dr at Lowell Ave,0,5951,1
48.748089,0,1101,-122.42355,,,,,Lakeway Dr at Portal Dr,0,5950,1
48.991993,0,5524,-122.75142,,,,,Peace Portal Dr at Clark St,0,5229,1
48.841644,0,9952,-122.54083,,,,,Northwest Dr at Lingbloom Rd,0,5461,1
48.841503,0,3252,-122.54099,,,,,Northwest Dr at Lingbloom Rd,0,5460,1
48.836235,0,8894,-122.54077,,,,,Northwest Dr at W 53 Vista,0,5463,1
48.83614,0,8981,-122.54092,,,,,Northwest Dr at W 53 Vista,0,5462,1
48.83009,0,2247,-122.53825,,,,,Northwest Dr at 5200 Block,0,5467,1
48.829937,0,3254,-122.53838,,,,,Northwest Dr at 5200 Block,0,5466,1
48.826267,0,2246,-122.53535,,,,,Northwest Dr at Larson Rd,0,5469,1
48.826199,0,2310,-122.53549,,,,,Northwest Dr at Larson Rd,0,5468,1
48.940533,0,7296,-122.15028,,,,,East Whatcom Resource Center,0,6095,1
48.776901,0,3404,-122.50953,,,,,Cottonwood Ave at Cherrywood Ave,0,6094,1
48.763332,0,3405,-122.50838,,,,,Nequalicum Ave at Eldridge Ave,0,6097,1
48.746098,0,1194,-122.40586,,,,,Cable St at Lakeview St,0,5954,1
48.745098,0,3128,-122.46812,,,,,Lakeway Dr at Humboldt St,0,5308,1
48.738491,0,3112,-122.3707,,,,,Lake Whatcom Blvd at W Strawberry Pt,0,5266,1
48.739071,0,3111,-122.36703,,,,,Lake Whatcom Blvd at E Strawberry Pt,0,5265,1
48.735847,0,2361,-122.35691,,,,,Lake Whatcom Blvd at 2600 Block,0,5264,1
48.732651,0,2360,-122.3486,,,,,Lake Whatcom Blvd at Woodcliff Ln,0,5263,1
48.728867,0,3110,-122.34245,,,,,Lake Whatcom Blvd at N Lakewood,0,5262,1
48.727413,0,3109,-122.34029,,,,,Lake Whatcom Blvd at S Lakewood,0,5261,1
48.780773,0,2977,-122.51993,,,,,Bennett Dr at Cherrywood Ave,0,5300,1
48.783447,0,2978,-122.51857,,,,,Bennett Dr at McLeod Rd,0,5301,1
48.783337,0,2979,-122.51875,,,,,Bennett Dr at McLeod Rd,0,5302,1
48.780743,0,2980,-122.52013,,,,,Bennett Dr at Cherrywood Ave,0,5303,1
48.776802,0,2982,-122.51255,,,,,Cottonwood Ave at 3100 Block,0,5304,1
48.776821,0,2983,-122.50704,,,,,Cottonwood Ave at Pinewood Ave,0,5305,1
48.746822,0,2161,-122.47057,,,,,Potter St at Franklin St,0,5306,1
48.739189,0,3114,-122.37939,,,,,Lake Whatcom Blvd at Cherry Ln,0,5268,1
48.792038,0,2963,-122.49284,,,,,Westerly Rd at Cordata Pkwy,0,5959,1
48.783108,0,2442,-122.57304,,,,,Marine Dr at Hoff Rd,0,5850,1
48.747021,0,3287,-122.46237,,,,,Lincoln St at Potter St,0,5852,1
48.769039,0,2834,-122.44548,,,,,Woburn St at Barkley Village,0,296,1
48.749542,0,3001,-122.42588,,,,,Electric Ave at Birch St,0,297,1
48.779762,0,2668,-122.53812,,,,,Alderwood Ave at Marine Dr,0,5917,1
48.761322,0,3032,-122.44541,,,,,Woburn St at Texas St,0,295,1
48.786098,0,2665,-122.52102,,,,,Airport Dr at Bennett Dr,0,5911,1
48.768669,0,7232,-122.46479,,,,,James St at Illinois St,0,5910,1
48.781841,0,4000,-122.53144,,,,,Airport Dr at Williamson Way,0,5913,1
48.762962,0,3342,-122.44312,,,,,Alabama St at Yew St,0,291,1
48.74509,0,3127,-122.46195,,,,,Lakeway Dr at Lincoln St,0,270,1
48.787498,0,2713,-122.44821,,,,,WTA Offices,0,272,1
48.789539,0,2733,-122.46359,,,,,Bakerview Rd at James St,0,273,1
48.789383,0,2734,-122.46461,,,,,Bakerview Rd at James St,0,274,1
48.787617,0,2718,-122.44846,,,,,WTA Offices,0,275,1
48.772774,0,7255,-122.45899,,,,,Sunset Dr at Sunset Square,0,276,1
48.772781,0,7233,-122.45852,,,,,Sunset Dr at Sunset Square,0,277,1
48.785885,0,2666,-122.52518,,,,,Airport Dr at Airport Way,0,278,1
48.787258,0,2443,-122.57352,,,,,Hoff Rd at Bayon Rd,0,279,1
48.743477,0,3317,-122.66647,,,,,Haxton Way at Southgate Rd,0,5414,1
48.743004,0,2457,-122.66707,,,,,Haxton Way at Southgate Rd,0,5415,1
48.747116,0,3318,-122.66348,,,,,Haxton Way at Smokehouse Rd,0,5416,1
48.746964,0,2456,-122.6638,,,,,Haxton Way at Smokehouse Rd,0,5417,1
48.735123,0,2463,-122.67217,,,,,Haxton Way at Ruth Rd,0,5410,1
48.738747,0,2464,-122.67032,,,,,Haxton Way at MacKenzie Rd,0,5411,1
48.737732,0,2544,-122.67045,,,,,MacKenzie Rd at Eagle Ave,0,5412,1
48.735687,0,2545,-122.668,,,,,MacKenzie Rd at Finkbonner Rd,0,5413,1
48.750725,0,3319,-122.66045,,,,,Haxton Way at Balch Rd,0,5418,1
48.75074,0,2455,-122.66066,,,,,Haxton Way at Balch Rd,0,5419,1
48.720245,0,2022,-122.5055,,,,,Harris Ave at 9th St,0,5789,1
48.729973,0,2081,-122.47252,,,,,Fielding Ave at 36th St,0,5005,1
48.748402,0,1152,-122.4275,,,,,Lakeway Dr at Birch St,0,5004,1
48.716042,0,2692,-122.49639,,,,,Old Fairhaven Pkwy at 16th St,0,5009,1
48.714771,0,2691,-122.48066,,,,,Old Fairhaven Pkwy at 2700 Block,0,5008,1
48.85981,0,5548,-122.58493,,,,,Portal Way at 6000 Block,0,5988,1
48.71394,0,3301,-122.46797,,,,,Samish Way at Lindsay Ave,0,5670,1
48.713863,0,1034,-122.46779,,,,,Samish Way at Lindsay Ave,0,5671,1
48.71162,0,3302,-122.46662,,,,,Samish Way at Cody Ave,0,5672,1
48.712112,0,2408,-122.46684,,,,,Samish Way at Cody Ave,0,5673,1
48.709373,0,3303,-122.46375,,,,,Samish Way at 40th St,0,5674,1
48.709538,0,2407,-122.46367,,,,,Samish Way at 40th St,0,5675,1
48.707073,0,1031,-122.45956,,,,,Samish Way at College St,0,5676,1
48.707294,0,2406,-122.45983,,,,,Samish Way at College St,0,5677,1
48.706379,0,3304,-122.45415,,,,,Samish Way at W Lake Padden,0,5678,1
48.706562,0,1030,-122.45707,,,,,Samish Way at 46th St,0,5679,1
48.717564,0,2100,-122.50039,,,,,Old Fairhaven Pkwy at 14th St,0,5773,1
48.717766,0,3172,-122.5004,,,,,Old Fairhaven Pkwy at 14th St,0,5772,1
48.714088,0,2029,-122.49966,,,,,Chuckanut Dr at Fairhaven Park,0,5775,1
48.7155,0,2030,-122.50121,,,,,Chuckanut Dr at Rose Garden,0,5774,1
48.710274,0,3177,-122.50032,,,,,Willow Rd at Chuckanut Dr,0,5777,1
48.747334,0,3105,-122.43408,,,,,Lakeway Dr at Kenoyer Dr,0,5579,1
48.747471,0,3104,-122.43701,,,,,Lakeway Dr at Clearbrook Dr,0,5578,1
48.747101,0,2124,-122.4405,,,,,Lakeway Dr at Bayview Cemetery,0,5577,1
48.744087,0,2388,-122.44357,,,,,Old Lakeway Dr at Xenia St,0,5575,1
48.743919,0,2387,-122.4454,,,,,Old Lakeway Dr at Woburn St,0,5574,1
48.745388,0,3102,-122.44858,,,,,Lakeway Dr at Verona St,0,5573,1
48.745335,0,3101,-122.45119,,,,,Lakeway Dr at Toledo St,0,5572,1
48.745106,0,3100,-122.45377,,,,,Lakeway Dr at Racine St,0,5571,1
48.744816,0,3099,-122.45757,,,,,Lakeway Dr at Pacific St,0,5570,1
48.868385,0,5509,-122.58436,,,,,Portal Way at 6200 Block,0,5982,1
48.720692,0,3279,-122.50237,,,,,12th St at Mill Ave,0,5816,1
48.877399,0,5511,-122.58402,,,,,Portal Way at Trigg Rd,0,5983,1
48.72242,0,2007,-122.5032,,,,,Finnegan Way at 11th St,0,5817,1
48.917805,0,5562,-122.74434,,,,,Alderson Rd at Birch Bay Dr,0,6079,1
48.917702,0,5561,-122.74419,,,,,Alderson Rd at Birch Bay Dr,0,6078,1
48.745575,0,3124,-122.4492,,,,,Lakeway Dr at Undine St,0,338,1
48.723091,0,2703,-122.36774,,,,,Lake Louise Rd at Gate 13,0,335,1
48.74612,0,1195,-122.40125,,,,,Cable St at Geneva St,0,334,1
48.746258,0,2366,-122.39867,,,,,Cable St at Austin St,0,337,1
48.71489,0,3108,-122.33221,,,,,Lake Whatcom Blvd at Gate 1,0,336,1
48.718971,0,3280,-122.50235,,,,,12th St at McKenzie Ave,0,331,1
48.76302,0,3269,-122.46467,,,,,Alabama St at James St,0,330,1
48.745571,0,3103,-122.44202,,,,,Lakeway Dr at Woburn St,0,333,1
48.740402,0,3283,-122.48884,,,,,State St at Cedar St,0,332,1
48.946613,0,7294,-122.14423,,,,,Golden Valley Dr at Chestnut Dr,0,5116,1
48.770798,0,3091,-122.48616,,,,,Meridian St at Oregon St,0,5138,1
48.773632,0,3090,-122.48617,,,,,Meridian St at Victor St,0,5137,1
48.781891,0,2305,-122.48633,,,,,Meridian St at McLeod Rd,0,5136,1
48.779175,0,2222,-122.48596,,,,,Meridian St at Orchard Dr,0,5135,1
48.77396,0,3200,-122.48594,,,,,Meridian St at Victor St,0,5134,1
48.771191,0,2221,-122.48595,,,,,Meridian St at Oregon St,0,5133,1
48.764759,0,2219,-122.48598,,,,,Meridian St at North St,0,5132,1
48.761719,0,3199,-122.48598,,,,,Meridian St at Broadway,0,5131,1
48.760761,0,3198,-122.48512,,,,,Girard St at J St,0,5130,1
48.737335,0,2391,-122.44244,,,,,Yew St at 900 Block,0,5704,1
48.737362,0,2424,-122.4426,,,,,Yew St at 900 Block,0,5705,1
48.739807,0,3315,-122.4426,,,,,Yew St at Princeton Ct,0,5706,1
48.739742,0,2390,-122.44238,,,,,Yew St at Princeton Ct,0,5707,1
48.733025,0,3313,-122.44239,,,,,Yew St at Woodbine Way,0,5700,1
48.732918,0,2393,-122.44261,,,,,Yew St at Woodbine Way,0,5701,1
48.735153,0,3314,-122.44242,,,,,Yew St at San Juan Blvd,0,5702,1
48.735161,0,2392,-122.44263,,,,,Yew St at San Juan Blvd,0,5703,1
48.791412,0,3089,-122.49156,,,,,Cordata Pkwy at Westerly Rd,0,5340,1
48.755116,0,3095,-122.47964,,,,,Grand Ave at Lottie St,0,5182,1
48.751953,0,2204,-122.47915,,,,,Champion St at Grand Ave,0,5183,1
48.807461,0,7143,-122.48622,,,,,Guide Meridian at Horton Rd,0,5180,1
48.984184,0,5522,-122.74094,,,,,Peace Portal Dr at Mitchell Ave,0,5228,1
48.921818,0,7112,-122.32177,,,,,Nooksack Rd at Columbia St,0,5186,1
48.928192,0,7113,-122.32173,,,,,Nooksack Rd at Madison St,0,5187,1
48.753757,0,3193,-122.47944,,,,,Grand Ave at Central Ave,0,5184,1
48.79454,0,3044,-122.49181,,,,,Cordata Pkwy at WCC,0,5185,1
48.935848,0,5517,-122.72144,,,,,Birch Bay-Lynden Rd at James Tree Ln,0,5223,1
48.7896,0,5557,-122.4986,,,,,Bakerview Rd at Eliza Ave,0,5958,1
48.920269,0,7119,-122.32879,,,,,Nooksack Valley Middle School,0,5188,1
48.920143,0,7111,-122.32845,,,,,Nooksack Valley Middle School,0,5189,1
48.976475,0,5521,-122.72932,,,,,Peace Portal Dr at Bell Rd,0,5227,1
48.962147,0,5520,-122.73039,,,,,Drayton Harbor Rd at Blaine Rd,0,5226,1
48.956635,0,5519,-122.74798,,,,,Harborview Rd at Drayton Harbor Rd,0,5225,1
48.720131,0,2072,-122.49675,,,,,Harris Ave at 16th St,0,5797,1
48.720234,0,3188,-122.49826,,,,,Harris Ave at 15th St,0,5796,1
48.720108,0,2071,-122.49923,,,,,Harris Ave at 14th St,0,5795,1
48.719025,0,9446,-122.50467,,,,,10th St at McKenzie Ave,0,5792,1
48.719509,0,9445,-122.50443,,,,,10th St at McKenzie Ave,0,5791,1
48.720058,0,3080,-122.5052,,,,,Harris Ave at 9th,0,5790,1
48.745655,0,2046,-122.47325,,,,,Indian St at Holly St,0,5810,1
48.745964,0,2087,-122.47307,,,,,Holly St at Indian St,0,5811,1
48.747669,0,2088,-122.47572,,,,,Holly St at Forest St,0,5812,1
48.74696,0,3286,-122.47705,,,,,Forest St at Chestnut St,0,5814,1
48.720749,0,3081,-122.50206,,,,,12th St at Mill Ave,0,5815,1
48.720245,0,3187,-122.49549,,,,,Harris Ave at 17th St,0,5799,1
48.720112,0,2073,-122.49277,,,,,Harris Ave at 19th St,0,5798,1
48.77663,0,3323,-122.64393,,,,,Haxton Way at Harnden Rd,0,5426,1
48.804253,0,1307,-122.50066,,,,,Horton Rd at Pacific Rim Way,0,238,1
48.798859,0,2657,-122.49712,,,,,Stuart Rd at Columbine Dr,0,239,1
48.799866,0,1321,-122.4959,,,,,Cordata Pkwy at Stuart Rd,0,236,1
48.734112,0,2546,-122.6647,,,,,MacKenzie Rd at Morning Star Dr,0,5408,1
48.787113,0,2226,-122.4881,,,,,Bellis Fair Pkwy at Macy's,0,230,1
48.752148,0,3034,-122.44538,,,,,Woburn St at Fraser St,0,5056,1
48.767124,0,3092,-122.48618,,,,,Meridian St at Illinois St,0,232,1
48.795078,0,7147,-122.48828,,,,,Kellogg Rd at Meridian St,0,233,1
48.763401,0,3209,-122.48826,,,,,Elm St at Jefferson St,0,5357,1
48.7658,0,2263,-122.48908,,,,,Northwest Ave at Connecticut St,0,5356,1
48.809673,0,1308,-122.50008,,,,,Meadowbrook Ct at Tremont Ave,0,237,1
48.777084,0,3045,-122.4843,,,,,Birchwood Ave at Meridian St,0,5353,1
48.777081,0,3046,-122.47932,,,,,Birchwood Ave at Orchard Pl,0,5352,1
48.777054,0,9369,-122.47682,,,,,Birchwood Ave at Squalicum Pkwy,0,5351,1
48.777157,0,3053,-122.47664,,,,,Birchwood Ave at Squalicum Pkwy,0,5350,1
48.78125,0,2437,-122.54275,,,,,Marine Dr at Old Marine Dr,0,5450,1
48.762691,0,3414,-122.4209,,,,,Electric Ave at Alabama St,0,6106,1
48.848034,0,3249,-122.56852,,,,,Axton Rd at Axton Ct,0,5452,1
48.806995,0,7242,-122.1979,,,,,Hwy 9 at Rutsatz Rd,0,5062,1
48.7785,0,3411,-122.51997,,,,,Bennett Dr at Alderwood Ave,0,6103,1
48.846817,0,2249,-122.55488,,,,,Axton Rd at Deer Creek Dr,0,5455,1
48.847832,0,8982,-122.54607,,,,,Axton Rd at Judy Way,0,5456,1
48.847977,0,8983,-122.54678,,,,,Axton Rd at Applegrove Ln,0,5457,1
48.945923,0,2965,-122.45248,,,,,3rd St at Main St,0,5924,1
48.893772,0,9753,-122.60892,,,,,Salashan Pkwy at Salashan Loop,0,5925,1
48.892204,0,9754,-122.6144,,,,,Salashan Loop at Grandview Rd,0,5926,1
48.772877,0,9875,-122.4455,,,,,Woburn St at Rimland Dr,0,5927,1
48.936684,0,3237,-122.48173,,,,,19th St at Kok Rd,0,5922,1
48.776218,0,9876,-122.44548,,,,,Woburn St at Sunset Dr,0,5928,1
48.847805,0,3251,-122.54166,,,,,Axton Rd at Northwest Dr,0,5458,1
48.84795,0,2248,-122.54176,,,,,Axton Rd at Northwest Dr,0,5459,1
48.732346,0,7777,-122.37813,,,,,Lake Louise Rd at Nature Reserve,0,5068,1
48.935345,0,3238,-122.48253,,,,,Kok Rd at 19th St,0,5533,1
48.935226,0,8986,-122.48217,,,,,Kok Rd at 19th St,0,5532,1
48.907619,0,2231,-122.48534,,,,,Guide Meridian at Wiser Lake Rd,0,5531,1
48.771198,0,2266,-122.49345,,,,,Northwest Ave at Lynn St,0,5354,1
48.939831,0,9203,-122.46247,,,,,Front St at British Columbia Ave,0,5537,1
48.939533,0,9202,-122.46559,,,,,Front St at 15th St,0,5536,1
48.939335,0,9201,-122.47259,,,,,Front St at 18th St,0,5535,1
48.939995,0,9219,-122.48108,,,,,19th St at Front St,0,5534,1
48.94146,0,9205,-122.45718,,,,,Front St at 9th St,0,5539,1
48.941048,0,9204,-122.45843,,,,,Front St at 10th St,0,5538,1
48.935673,0,5540,-122.72246,,,,,Birch Bay-Lynden Rd at Anchor Pkwy,0,5236,1
48.988209,0,7163,-122.26611,,,,,Easterbrook Rd at Bowen Rd,0,6109,1
48.861958,0,7160,-122.48611,,,,,Guide Meridian at Hemmi Rd,0,6039,1
48.890709,0,7162,-122.48529,,,,,Guide Meridian at Pole Rd,0,6038,1
48.781788,0,7295,-122.43158,,,,,Sunset Dr at Vining St,0,6033,1
48.734566,0,9998,-122.46601,,,,,Lincoln Creek P&R,0,6032,1
48.795231,0,2260,-122.49421,,,,,Kellogg Rd at WCC,0,6031,1
48.862896,0,7161,-122.48573,,,,,Guide Meridian at Hemmi Rd,0,6037,1
48.762619,0,3413,-122.42066,,,,,Electric Ave at Alabama St,0,6105,1
48.719967,0,3379,-122.44254,,,,,Yew St at Wade King Elementary,0,6035,1
48.719948,0,3378,-122.44274,,,,,Yew St at Wade King Elementary,0,6034,1
48.897453,0,7106,-122.35294,,,,,Mission Rd at Suchanon Dr,0,5172,1
48.892403,0,7125,-122.35313,,,,,Mission Rd at Silves Ct,0,5171,1
48.892445,0,7105,-122.35297,,,,,Mission Rd at Silves Ct,0,5170,1
48.847378,0,7140,-122.48618,,,,,Guide Meridian at Axton Rd,0,5177,1
48.85714,0,7139,-122.48614,,,,,Guide Meridian at Laurel Rd,0,5176,1
48.868973,0,7138,-122.48609,,,,,Guide Meridian at Ten Mile Rd,0,5175,1
48.846996,0,3250,-122.55404,,,,,Axton Rd at Deer Creek Dr,0,5454,1
48.814613,0,7142,-122.48616,,,,,Guide Meridian at Kline Rd,0,5179,1
48.832916,0,7141,-122.48618,,,,,Guide Meridian at Smith Rd,0,5178,1
