from_stop_id,to_stop_id,transfer_type,min_transfer_time
218,215,,
5895,215,,
5895,218,,
328,220,,
330,220,,
328,221,,
330,221,,
228,224,,
331,226,,
5772,226,,
5773,226,,
224,228,,
253,259,,
253,260,,
270,266,,
277,276,,
276,277,,
296,286,,
286,296,,
5058,297,,
303,306,,
6032,307,,
220,328,,
221,330,,
226,331,,
5057,333,2,300
302,5004,,
5549,5050,,
5101,5096,2,300
5928,5096,2,300
5096,5101,,
5928,5101,,
6024,5340,,
5135,5353,,
5739,5733,,
226,5772,,
5773,5772,,
5843,5772,,
226,5773,,
5772,5773,,
5843,5773,,
5811,5810,,
5772,5843,,
5773,5843,,
5894,5859,,
218,5895,,
5096,5928,,
5101,5928,,
307,6032,,
242,6038,,
