block_id,bikes_allowed,route_id,wheelchair_accessible,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_4502,1,540_merged_2583063,1,,1,540 Downtown,shp-540-02,2_merged_2583096,953020,
b_2407,1,80X_merged_2583068,1,,0,80X Mt Vernon,shp-80X-51,4,665070,
a_13,1,9,1,,0,9 Hospital,shp-9-51,3_merged_2583092,2309010,
b_3807,1,331_merged_2583066,1,,0,331 Downtown,shp-331-51,4,114070,
a_2196,1,197_merged_2583036,1,,1,197 Downtown,shp-197-51,2_merged_2583093,1971070,
a_13,1,3_merged_2583051,1,,1,3 Airport / Cordata,shp-3-01,3_merged_2583092,33010,
b_6702,1,3_merged_2583079,1,,1,3 Airport / Cordata,shp-3-01,2_merged_2583096,803020,
b_2002,1,533_merged_2583089,1,,0,533 Yew St,shp-533-02,2_merged_2583096,1715020,
a_2232,1,232_merged_2583041,1,,1,232 Cordata/WCC,shp-232-01,3_merged_2583092,439010,
b_3402,1,15_merged_2583085,1,784020,1,15 Cordata/WCC,shp-15-01,2_merged_2583096,784020_merged_2584464,
b_601,1,190_merged_2583067,1,,1,190 Downtown,shp-190-07,3_merged_2583095,1751010,
a_118,1,18,1,955020,1,18 Cordata/WCC,shp-18-01,1_merged_2583091,955020_merged_2583486,
b_5002,1,190S,1,483020,1,190S Lincoln St,shp-190S-04,2_merged_2583096,483020_merged_2584073,
b_5602,1,331_merged_2583066,1,1979020,0,331 Downtown,shp-331-51,2_merged_2583096,1979020_merged_2584251,
a_1107,1,107_merged_2583055,1,,1,107 Downtown,shp-107-51,2_merged_2583093,1116070,
a_4232,1,26_merged_2583043,1,,1,26 Cordata/WCC,shp-26-04,1_merged_2583091,1554020,
a_118,1,50_merged_2583060,1,,1,50 Cordata/WCC,shp-50-01_merged_2583101,2_merged_2583093,1949070,
b_3801,1,331_merged_2583066,1,,0,331 Downtown,shp-331-51,3_merged_2583095,673010,
a_1533,1,540_merged_2583035,1,,0,540 Sunset,shp-540-51,2_merged_2583093,2343070,
b_909,1,331_merged_2583066,1,,0,331 Downtown,shp-331-51,1_merged_2583094,286090,
b_6507,1,232_merged_2583069,1,,1,232 Cordata/WCC,shp-232-01,4,638070,
b_1907,1,525_merged_2583078,1,,0,525 Downtown,shp-525-03,4,1788070,
b_1609,1,47_merged_2583075,1,,0,47 Harbor,shp-47-51,1_merged_2583094,1752090,
a_13,1,3_merged_2583051,1,,1,3 Airport / Cordata,shp-3-01,3_merged_2583092,32010,
a_2331,1,331_merged_2583038,1,277020,1,331 Cordata/WCC,shp-331-01,1_merged_2583091,277020_merged_2583238,
a_147,1,47_merged_2583047,1,142010,1,47 Downtown,shp-47-01,3_merged_2583092,142010_merged_2583189,
a_110,1,10,1,,0,10 Eldridge,shp-10-51,1_merged_2583091,2487020,
a_147,1,47_merged_2583047,1,,1,47 Downtown,shp-47-01,3_merged_2583092,100010,
b_809,1,196_merged_2583065,1,,1,196 WWU/Lincoln,shp-196-01_merged_2583111,1_merged_2583094,1626090,
a_13,1,105_merged_2583056,1,1650070,1,105 Downtown,shp-105-01,2_merged_2583093,1650070_merged_2583664,
a_33,1,27_merged_2583044,1,,0,27 Ferndale,shp-27-51,1_merged_2583091,63020,
b_6707,1,105_merged_2583084,1,,1,105 Downtown,shp-105-01,4,990070,
a_1525,1,525_merged_2583050,1,347070,1,525 Barkley,shp-525-51,2_merged_2583093,347070_merged_2583443,
b_1601,1,47_merged_2583075,1,,0,47 Harbor,shp-47-51,3_merged_2583095,1324010,
a_1107,1,107_merged_2583055,1,1114070,1,107 Downtown,shp-107-51,2_merged_2583093,1114070_merged_2583676,
b_4002,1,15_merged_2583085,1,,1,15 Cordata/WCC,shp-15-01,2_merged_2583096,2147020,
a_19,1,9,1,,0,9 Hospital,shp-9-51,1_merged_2583091,2298020,
b_5902,1,232_merged_2583069,1,,0,232 Downtown,shp-232-51,2_merged_2583096,1591020,
a_1190,1,190_merged_2583039,1,,1,190 Downtown,shp-190-06,1_merged_2583091,754020,
a_4232,1,232_merged_2583041,1,480070,1,232 Cordata/WCC,shp-232-01,2_merged_2583093,480070_merged_2583588,
a_226,1,45,1,1516020,1,45 Cordata/WCC,shp-45-01,1_merged_2583091,1516020_merged_2583801,
b_7202,1,232_merged_2583069,1,,1,232 Cordata/WCC,shp-232-01,2_merged_2583096,2101020,
b_3401,1,14_merged_2583086,1,,1,14 Downtown via WWU,shp-14-01,3_merged_2583095,274010,
b_5102,1,190S,1,,1,190S Lincoln St,shp-190S-03,2_merged_2583096,1559020,
a_2331,1,331_merged_2583038,1,210070,1,331 Cordata/WCC,shp-331-01,2_merged_2583093,210070_merged_2583506,
b_1602,1,47_merged_2583075,1,590020,0,47 Harbor,shp-47-51,2_merged_2583096,590020_merged_2583873,
b_4007,1,14_merged_2583086,1,,0,14 Fairhaven via WWU,shp-14-52,4,891070,
b_501,1,15_merged_2583085,1,1329010,1,15 Cordata/WCC,shp-15-01,3_merged_2583095,1329010_merged_2584096,
b_6707,1,105_merged_2583084,1,516070,0,105 32nd St,shp-105-52,4,516070_merged_2583960,
a_33,1,27_merged_2583044,1,,0,27 Ferndale,shp-27-51,2_merged_2583093,58070,
a_147,1,47_merged_2583047,1,,1,47 Downtown,shp-47-01,2_merged_2583093,157070,
a_19,1,9,1,,0,9 Hospital,shp-9-51,1_merged_2583091,2277020,
b_2009,1,533_merged_2583089,1,,0,533 Yew St,shp-533-02,1_merged_2583094,1761090,
